student,daysstudying,examgrade,shortanswer,mc
1,16,86,38,24
2,15,79,35,22
3,0,47,29,9
4,18,93,39,27
5,14,90,38,26
6,18,73,37,18
7,18,68,36,16
8,18,80,36,22
9,12,84,34,25
10,8,81,35,23
11,15,82,38,22
12,0,68,38,15
13,14,71,27,22
14,10,69,35,17
15,0,91,39,26
16,19,68,36,16
17,17,86,38,24
18,18,76,34,21
19,19,86,38,24
20,14,69,33,18
21,2,70,32,19
22,15,88,38,25
23,14,81,39,21
24,17,73,35,19
25,14,81,39,21
26,0.5,62,30,16
27,2,79,29,25
28,1,73,35,19
29,3,68,30,19
