face,race,mean_acc,complexity_rating
F01.bmp  ,white,0.649350649,3.243902439
F02.bmp  ,white,0.805194805,3.5
F03.bmp  ,white,0.779220779,3.707317073
F04.bmp  ,white,0.467532468,2.552631579
F05.bmp  ,white,0.74025974,4.463414634
F06.bmp  ,white,0.675324675,3.815789474
F07.bmp  ,white,0.532467532,3.414634146
F08.bmp  ,white,0.558441558,2.210526316
F09.bmp  ,white,0.792207792,4.195121951
F10.bmp  ,white,0.506493506,3.157894737
F11.bmp  ,white,0.792207792,4.292682927
F22.bmp  ,white,0.675324675,3.236842105
F25.bmp  ,white,0.636363636,2.853658537
F26.bmp  ,white,0.831168831,4.184210526
F27.bmp  ,white,0.675324675,3.951219512
F35.bmp  ,white,0.662337662,3.473684211
F37.bmp  ,white,0.61038961,3.219512195
F39.bmp  ,white,0.753246753,3.789473684
F41.bmp  ,white,0.701298701,3.414634146
F45.bmp  ,white,0.935064935,4.184210526
M01.bmp  ,white,0.597402597,3.146341463
M06.bmp  ,white,0.701298701,4.184210526
M08.bmp  ,white,0.727272727,3.219512195
M09.bmp  ,white,0.805194805,4.131578947
M12.bmp  ,white,0.753246753,4.56097561
M14.bmp  ,white,0.467532468,3.578947368
M16.bmp  ,white,0.688311688,3.414634146
M18.bmp  ,white,0.61038961,3.973684211
M20.bmp  ,white,0.675324675,3.585365854
M24.bmp  ,white,0.766233766,3.078947368
M26.bmp  ,white,0.558441558,3.292682927
M28.bmp  ,white,0.74025974,3
M33.bmp  ,white,0.688311688,2.829268293
M34.bmp  ,white,0.675324675,3.342105263
M35.bmp  ,white,0.74025974,2.853658537
M41.bmp  ,white,0.87012987,4.105263158
M42.bmp  ,white,0.727272727,3.243902439
M45.bmp  ,white,0.714285714,2.394736842
M47.bmp  ,white,0.805194805,3.024390244
M48.bmp  ,white,0.922077922,4.078947368
F01_B.bmp,black,0.688311688,2.756097561
F02_B.bmp,black,0.506493506,3.631578947
F03_B.bmp,black,0.584415584,4.146341463
F04_B.bmp,black,0.428571429,3.184210526
F05_B.bmp,black,0.662337662,2.87804878
F06_B.bmp,black,0.467532468,3.421052632
F07_B.bmp,black,0.714285714,3.512195122
F08_B.bmp,black,0.493506494,4.026315789
F09_B.bmp,black,0.792207792,3.292682927
F10_B.bmp,black,0.480519481,3.289473684
F11_B.bmp,black,0.675324675,4.073170732
F12_B.bmp,black,0.519480519,3.526315789
F13_B.bmp,black,0.519480519,3.195121951
F14_B.bmp,black,0.415584416,3.394736842
F15_B.bmp,black,0.662337662,3.975609756
F16_B.bmp,black,0.519480519,3.236842105
F17_B.bmp,black,0.636363636,3.268292683
F18_B.bmp,black,0.701298701,4.394736842
F19_B.bmp,black,0.805194805,3.609756098
F20_B.bmp,black,0.753246753,3.052631579
M01_B.bmp,black,0.623376623,3.024390244
M02_B.bmp,black,0.688311688,4.105263158
M03_B.bmp,black,0.662337662,2.926829268
M04_B.bmp,black,0.402597403,2.578947368
M05_B.bmp,black,0.636363636,2.658536585
M06_B.bmp,black,0.675324675,5.684210526
M07_B.bmp,black,0.753246753,2.43902439
M08_B.bmp,black,0.441558442,3.736842105
M09_B.bmp,black,0.662337662,3.512195122
M10_B.bmp,black,0.597402597,4.052631579
M11_B.bmp,black,0.727272727,3.829268293
M12_B.bmp,black,0.428571429,2.657894737
M13_B.bmp,black,0.727272727,2.951219512
M14_B.bmp,black,0.61038961,3.394736842
M15_B.bmp,black,0.623376623,3.097560976
M16_B.bmp,black,0.74025974,3.131578947
M17_B.bmp,black,0.649350649,2.87804878
M18_B.bmp,black,0.545454545,3.184210526
M19_B.bmp,black,0.714285714,3.12195122
M20_B.bmp,black,0.662337662,3.473684211
