subject,emotion,gaze,RT,acc
22,Fear,Direct,912.0108394,0.97
23,Fear,Direct,1122.018454,0.88
24,Fear,Direct,1122.018454,1
25,Fear,Direct,977.237221,0.9
26,Fear,Direct,912.0108394,0.97
27,Fear,Direct,891.2509381,0.95
28,Fear,Direct,1122.018454,0.9
29,Fear,Direct,870.96359,0.95
30,Fear,Direct,891.2509381,0.97
31,Fear,Direct,870.96359,0.97
32,Fear,Direct,851.1380382,0.95
33,Fear,Direct,1000,0.93
34,Fear,Direct,1047.128548,0.92
35,Fear,Direct,1071.519305,0.92
36,Fear,Direct,1000,0.98
37,Fear,Direct,912.0108394,0.92
38,Fear,Direct,1023.292992,0.97
39,Fear,Direct,954.992586,0.93
40,Fear,Direct,977.237221,0.98
41,Fear,Direct,1258.925412,1
42,Fear,Direct,1230.268771,0.98
43,Fear,Direct,1071.519305,0.98
44,Fear,Direct,1380.384265,0.88
45,Fear,Direct,1318.256739,0.78
46,Fear,Direct,1071.519305,1
47,Fear,Direct,1174.897555,0.95
48,Fear,Direct,1202.264435,0.98
49,Fear,Direct,1096.478196,0.93
50,Fear,Direct,1318.256739,1
51,Fear,Direct,1096.478196,0.95
52,Fear,Direct,1348.962883,0.95
53,Fear,Direct,1122.018454,0.87
54,Fear,Direct,1071.519305,0.93
55,Fear,Direct,1412.537545,0.93
56,Fear,Direct,1621.810097,0.98
57,Fear,Direct,1445.439771,0.77
58,Fear,Direct,1122.018454,0.9
59,Fear,Direct,1023.292992,1
60,Fear,Direct,1230.268771,0.87
1,Fear,Averted,691.8309709,0.92
2,Fear,Averted,676.0829754,0.98
3,Fear,Averted,724.4359601,0.98
4,Fear,Averted,870.96359,0.95
5,Fear,Averted,794.3282347,0.9
6,Fear,Averted,707.9457844,0.8
7,Fear,Averted,645.654229,0.92
8,Fear,Averted,812.8305162,0.97
9,Fear,Averted,707.9457844,0.9
10,Fear,Averted,870.96359,0.88
11,Fear,Averted,794.3282347,0.93
