Sex,Age,Race,LLGive,LLTouch,LLService,LLTime,LLWords,GiftsReceive,TouchReceive,ServiceReceive,TimeReceive,WordsReceive,GiftsGive,TouchGive,ServiceGive,TimeGive,WordsGive
Male,21,Hispanic,54,54,70,59,72,5,1,4,2,3,5,2,4,1,3
Female,18,Caucasian,18,18,24,20,24,5,1,4,2,3,1,5,4,3,2
Male,19,Caucasian,27,45,49,56,70,5,1,4,3,2,5,1,2,4,3
Female,18,Caucasian,37,47,59,56,61,5,3,2,1,4,5,3,2,1,4
Female,19,Caucasian,40,33,54,44,55,4,5,2,1,3,3,5,2,1,4
Female,20,Other,43,54,59,51,71,5,2,4,1,3,5,2,4,1,3
Female,18,Caucasian,42,41,59,43,60,4,3,1,2,5,1,4,3,5,2
Female,18,Caucasian,37,27,57,45,60,5,4,3,1,2,4,5,2,1,3
Male,20,Caucasian,33,35,42,44,59,4,3,5,1,2,4,3,5,1,2
Female,19,Caucasian,51,54,61,51,72,5,1,4,2,3,1,4,3,2,5
Female,18,Caucasian,37,46,53,46,59,5,1,3,2,4,5,1,4,3,2
Female,20,Caucasian,36,41,56,50,61,5,1,4,2,3,5,2,4,1,3
Female,18,Caucasian,35,44,52,43,70,5,3,2,1,4,5,4,1,3,2
Female,21,Caucasian,38,48,56,52,60,4,3,5,1,2,3,1,5,2,4
Female,22,Caucasian,54,53,71,59,71,1,4,2,3,5,1,4,2,3,5
Male,20,Caucasian,40,46,62,49,59,2,3,1,4,5,1,5,4,2,3
Male,21,Caucasian,39,40,56,48,56,5,1,4,2,3,5,1,4,2,3
Female,18,Caucasian,37,38,49,38,68,5,3,2,4,1,5,3,2,4,1
Female,21,Caucasian,21,38,48,51,47,5,4,3,1,2,5,3,2,1,4
Female,20,Caucasian,9,9,12,10,12,4,5,3,1,2,5,4,2,3,1
