id,CONFIDNT,ASSERTIV,COGNITIV,OUTGOING,DEPENDBL,WARMHSTL,SEX,at.child,at.adol,ba.child,ba.adol
G094,1.22585,0.32411,-3.13433,2.54267,3.59192,1.67295,F,4.38,5.13,0,4.56
G095,3.25849,1.67005,-4.54472,3.84433,3.36701,-3.12665,F,3.07,2.81,0,4.44
G096,2.43618,1.59585,-2.31338,5.57066,1.24061,0.72078,F,3.19,3.06,0,2.5
G097,-2.569,2.47415,0.29025,-1.63309,2.22985,0.3291,M,2.81,3.2,0,4.77
G098,-1.83185,4.1995,-4.79822,3.29636,2.25678,-8.34771,F,2.56,1.94,0,4.19
G100,-2.81051,0.98325,-1.89719,1.61204,5.68388,-5.47837,F,2.38,3.25,0,2.19
G101,-2.41147,2.04793,-5.74533,0.16725,2.9428,-7.81436,F,3.06,5.13,0,3.06
G103,0.86318,1.62556,-2.22562,3.01421,6.25394,-2.98681,F,4.19,2.75,0,2.88
G105,-1.57371,-1.2498,-3.88198,0.56871,4.85005,-0.00117,F,0,0,0,0
G106,-1.66529,-0.6197,0.84598,-2.28141,7.15899,4.20071,M,3,0,0,0
G107,2.57445,4.88686,-1.10167,1.20751,9.17013,-5.85727,M,3.81,0,0,0
G108,1.06717,0.66731,-2.359,-0.09641,8.14577,3.62051,M,4.63,4,0,3.53
G112,-1.13631,5.46187,0.06683,-3.3243,6.96747,-5.65326,M,2.31,0,0,0
G115,2.2062,2.30835,-5.14012,2.66495,1.4233,2.56559,M,3.75,0,0,0
G116,-1.08221,-1.76446,-4.69768,1.5954,2.77734,-2.3313,F,4.06,3.44,0,4.69
G121,3.69304,1.21525,-4.54766,1.61783,3.19982,-5.5832,M,3.53,3.5,0,4.26
G123,2.57605,2.57509,1.60018,0.82612,9.58112,-0.8031,M,3.44,0,0,0
G124,3.13143,3.26844,0.91867,5.03856,6.73678,2.21067,M,2.91,4.07,0,4.58
G125,0.98028,0.81652,-4.2859,4.75377,4.17991,-3.73672,F,0,2.5,0,5.69
G127,0.04103,1.64347,-2.64239,4.20322,3.4748,-1.84771,F,3.31,4.44,0,4.06
G129,-1.13513,4.10423,-6.39599,-1.46943,6.26795,-6.9577,F,0,0,0,0
G130,-0.51223,4.35588,-4.10276,-0.2753,4.47988,-2.02837,M,3.34,2.67,0,3.94
G132,1.79481,0.6534,-4.70848,1.72276,4.63067,-8.89922,F,4.25,3.43,0,3
G134,-1.68149,6.29634,-4.04979,0.4421,1.89413,-9.02497,M,0,2.7,0,3.56
G135,1.11691,-1.42923,1.79205,-1.45368,6.72978,3.25958,F,2.06,3,0,3.69
G139,4.08972,4.58974,-0.1447,2.77678,6.01029,-2.02354,M,2.91,2.7,0,4.16
G140,-0.87246,-0.71711,-2.77867,4.42171,5.02756,0.08345,F,0,3,0,1.88
G146,-1.98026,-0.82936,1.36518,-2.12582,7.62341,2.94921,F,2.88,2.31,0,4.06
G151,1.2433,1.4978,-4.0694,3.14529,7.63164,-6.57956,F,3.75,3.44,0,2.88
G152,1.86162,1.34606,1.35162,-1.202,8.92002,0.32883,F,5.19,4.06,0,3.94
G153,-1.40659,5.49427,-2.31523,0.32469,1.81863,-8.00409,M,3.84,4.27,0,2.91
G154,2.14849,0.64418,1.63771,5.26916,6.36832,3.41509,M,4.94,4.77,0,4
G163,1.61785,-1.13243,-0.13482,0.20119,6.97464,1.44465,F,3.88,2.19,0,3.88
G168,1.7454,3.07083,-3.02395,6.54647,4.46064,-4.39803,F,1.81,3.06,0,5.06
G172,0.12881,2.24977,1.12914,-1.01531,9.77202,-2.96644,M,4.03,1.87,0,5.41
G174,-3.19889,3.82401,-3.1929,0.27251,3.35949,-5.80646,F,1.88,3.44,0,4.5
G176,-1.81703,4.11013,-1.6338,5.76565,2.75527,-6.22375,F,0,3.63,0,4.56
G178,-2.7209,-0.92107,-3.15219,-3.75534,5.52076,1.18984,M,3.25,2.48,0,4.34
G179,-1.32027,5.86854,1.10062,2.04632,4.47065,-2.01503,F,1.69,2.88,0,5
