"time","steps","day.week","month","day.month"
2016-10-10,1173,"Monday","October",10
2016-10-11,2555,"Tuesday","October",11
2016-10-12,4193,"Wednesday","October",12
2016-10-13,6892,"Thursday","October",13
2016-10-14,9902,"Friday","October",14
2016-10-15,13253,"Saturday","October",15
2016-10-16,8877,"Sunday","October",16
2016-10-17,10023,"Monday","October",17
2016-10-18,9300,"Tuesday","October",18
2016-10-19,9204,"Wednesday","October",19
2016-10-20,7223,"Thursday","October",20
2016-10-21,11577,"Friday","October",21
2016-10-22,12078,"Saturday","October",22
2016-10-23,14858,"Sunday","October",23
2016-10-24,12672,"Monday","October",24
2016-10-25,10890,"Tuesday","October",25
2016-10-26,12164,"Wednesday","October",26
2016-10-27,12886,"Thursday","October",27
2016-10-28,8543,"Friday","October",28
2016-10-29,15729,"Saturday","October",29
2016-10-30,12002,"Sunday","October",30
2016-10-31,12864,"Monday","October",31
2016-11-01,8600,"Tuesday","November",1
2016-11-02,17246,"Wednesday","November",2
2016-11-03,10064,"Thursday","November",3
2016-11-04,9381,"Friday","November",4
2016-11-05,14959,"Saturday","November",5
2016-11-06,9654,"Sunday","November",6
2016-11-07,11619,"Monday","November",7
2016-11-08,9080,"Tuesday","November",8
2016-11-09,14351,"Wednesday","November",9
2016-11-10,8468,"Thursday","November",10
2016-11-11,11623,"Friday","November",11
2016-11-12,9933,"Saturday","November",12
2016-11-13,5584,"Sunday","November",13
2016-11-14,11949,"Monday","November",14
2016-11-15,9273,"Tuesday","November",15
2016-11-16,3209,"Wednesday","November",16
2016-11-17,0,"Thursday","November",17
2016-11-18,0,"Friday","November",18
2016-11-19,0,"Saturday","November",19
2016-11-20,0,"Sunday","November",20
2016-11-21,0,"Monday","November",21
2016-11-22,0,"Tuesday","November",22
2016-11-23,0,"Wednesday","November",23
2016-11-24,0,"Thursday","November",24
2016-11-25,0,"Friday","November",25
2016-11-26,0,"Saturday","November",26
2016-11-27,0,"Sunday","November",27
2016-11-28,0,"Monday","November",28
2016-11-29,1995,"Tuesday","November",29
2016-11-30,16456,"Wednesday","November",30
2016-12-01,10813,"Thursday","December",1
2016-12-02,16077,"Friday","December",2
2016-12-03,10198,"Saturday","December",3
2016-12-04,7276,"Sunday","December",4
2016-12-05,15140,"Monday","December",5
2016-12-06,8610,"Tuesday","December",6
2016-12-07,12152,"Wednesday","December",7
2016-12-08,7451,"Thursday","December",8
2016-12-09,8930,"Friday","December",9
2016-12-10,11842,"Saturday","December",10
2016-12-11,8356,"Sunday","December",11
2016-12-12,15253,"Monday","December",12
2016-12-13,11031,"Tuesday","December",13
2016-12-14,12505,"Wednesday","December",14
2016-12-15,13452,"Thursday","December",15
2016-12-16,14855,"Friday","December",16
2016-12-17,3767,"Saturday","December",17
2016-12-18,7432,"Sunday","December",18
2016-12-19,10465,"Monday","December",19
2016-12-20,13681,"Tuesday","December",20
2016-12-21,13986,"Wednesday","December",21
2016-12-22,10597,"Thursday","December",22
2016-12-23,8628,"Friday","December",23
2016-12-24,9965,"Saturday","December",24
2016-12-25,12385,"Sunday","December",25
2016-12-26,6302,"Monday","December",26
2016-12-27,13076,"Tuesday","December",27
2016-12-28,6419,"Wednesday","December",28
2016-12-29,520,"Thursday","December",29
2016-12-30,10480,"Friday","December",30
2016-12-31,8611,"Saturday","December",31
2017-01-01,10421,"Sunday","January",1
2017-01-02,10046,"Monday","January",2
2017-01-03,7650,"Tuesday","January",3
2017-01-04,15565,"Wednesday","January",4
2017-01-05,16381,"Thursday","January",5
2017-01-06,17226,"Friday","January",6
2017-01-07,12057,"Saturday","January",7
2017-01-08,12797,"Sunday","January",8
2017-01-09,14000,"Monday","January",9
2017-01-10,11752,"Tuesday","January",10
2017-01-11,13704,"Wednesday","January",11
2017-01-12,11058,"Thursday","January",12
2017-01-13,13202,"Friday","January",13
2017-01-14,13281,"Saturday","January",14
2017-01-15,10102,"Sunday","January",15
2017-01-16,13007,"Monday","January",16
2017-01-17,12621,"Tuesday","January",17
2017-01-18,15211,"Wednesday","January",18
2017-01-19,15498,"Thursday","January",19
2017-01-20,14579,"Friday","January",20
2017-01-21,11878,"Saturday","January",21
2017-01-22,12863,"Sunday","January",22
2017-01-23,17783,"Monday","January",23
2017-01-24,13374,"Tuesday","January",24
2017-01-25,15060,"Wednesday","January",25
2017-01-26,11543,"Thursday","January",26
2017-01-27,16826,"Friday","January",27
2017-01-28,21482,"Saturday","January",28
2017-01-29,10450,"Sunday","January",29
2017-01-30,15283,"Monday","January",30
2017-01-31,14576,"Tuesday","January",31
2017-02-01,13940,"Wednesday","February",1
2017-02-02,12835,"Thursday","February",2
2017-02-03,13728,"Friday","February",3
2017-02-04,14000,"Saturday","February",4
2017-02-05,16286,"Sunday","February",5
2017-02-06,15480,"Monday","February",6
2017-02-07,12603,"Tuesday","February",7
2017-02-08,15273,"Wednesday","February",8
2017-02-09,11035,"Thursday","February",9
2017-02-10,10071,"Friday","February",10
2017-02-11,10187,"Saturday","February",11
2017-02-12,10740,"Sunday","February",12
2017-02-13,12459,"Monday","February",13
2017-02-14,10258,"Tuesday","February",14
2017-02-15,11994,"Wednesday","February",15
2017-02-16,10083,"Thursday","February",16
2017-02-17,14124,"Friday","February",17
2017-02-18,10394,"Saturday","February",18
2017-02-19,11424,"Sunday","February",19
2017-02-20,11133,"Monday","February",20
2017-02-21,14572,"Tuesday","February",21
2017-02-22,15377,"Wednesday","February",22
2017-02-23,10827,"Thursday","February",23
2017-02-24,15645,"Friday","February",24
2017-02-25,21872,"Saturday","February",25
2017-02-26,14040,"Sunday","February",26
2017-02-27,17758,"Monday","February",27
2017-02-28,17762,"Tuesday","February",28
2017-03-01,14595,"Wednesday","March",1
2017-03-02,15873,"Thursday","March",2
2017-03-03,14817,"Friday","March",3
2017-03-04,11776,"Saturday","March",4
2017-03-05,22904,"Sunday","March",5
2017-03-06,13792,"Monday","March",6
2017-03-07,14789,"Tuesday","March",7
2017-03-08,15816,"Wednesday","March",8
2017-03-09,10551,"Thursday","March",9
2017-03-10,13907,"Friday","March",10
2017-03-11,20003,"Saturday","March",11
2017-03-12,10176,"Sunday","March",12
2017-03-13,12821,"Monday","March",13
2017-03-14,11217,"Tuesday","March",14
2017-03-15,17461,"Wednesday","March",15
2017-03-16,11044,"Thursday","March",16
2017-03-17,16202,"Friday","March",17
2017-03-18,13175,"Saturday","March",18
2017-03-19,19728,"Sunday","March",19
2017-03-20,10984,"Monday","March",20
2017-03-21,11416,"Tuesday","March",21
2017-03-22,15273,"Wednesday","March",22
2017-03-23,10983,"Thursday","March",23
2017-03-24,12167,"Friday","March",24
2017-03-25,14545,"Saturday","March",25
2017-03-26,19912,"Sunday","March",26
2017-03-27,13821,"Monday","March",27
2017-03-28,11446,"Tuesday","March",28
2017-03-29,13925,"Wednesday","March",29
2017-03-30,10909,"Thursday","March",30
2017-03-31,14344,"Friday","March",31
2017-04-01,16590,"Saturday","April",1
2017-04-02,18371,"Sunday","April",2
2017-04-03,13707,"Monday","April",3
2017-04-04,12661,"Tuesday","April",4
2017-04-05,11135,"Wednesday","April",5
2017-04-06,14077,"Thursday","April",6
2017-04-07,15606,"Friday","April",7
2017-04-08,14095,"Saturday","April",8
2017-04-09,15269,"Sunday","April",9
2017-04-10,14826,"Monday","April",10
2017-04-11,15668,"Tuesday","April",11
2017-04-12,14996,"Wednesday","April",12
2017-04-13,10426,"Thursday","April",13
2017-04-14,15986,"Friday","April",14
2017-04-15,11146,"Saturday","April",15
2017-04-16,19300,"Sunday","April",16
2017-04-17,13471,"Monday","April",17
2017-04-18,13480,"Tuesday","April",18
2017-04-19,13696,"Wednesday","April",19
2017-04-20,11931,"Thursday","April",20
2017-04-21,13416,"Friday","April",21
2017-04-22,18366,"Saturday","April",22
2017-04-23,10943,"Sunday","April",23
2017-04-24,16107,"Monday","April",24
2017-04-25,15473,"Tuesday","April",25
2017-04-26,13146,"Wednesday","April",26
2017-04-27,12578,"Thursday","April",27
2017-04-28,14505,"Friday","April",28
2017-04-29,13891,"Saturday","April",29
2017-04-30,10710,"Sunday","April",30
2017-05-01,13054,"Monday","May",1
2017-05-02,12050,"Tuesday","May",2
2017-05-03,13025,"Wednesday","May",3
2017-05-04,10785,"Thursday","May",4
2017-05-05,7447,"Friday","May",5
2017-05-06,14890,"Saturday","May",6
2017-05-07,12270,"Sunday","May",7
2017-05-08,13516,"Monday","May",8
2017-05-09,13524,"Tuesday","May",9
2017-05-10,11585,"Wednesday","May",10
2017-05-11,8100,"Thursday","May",11
2017-05-12,9162,"Friday","May",12
2017-05-13,10110,"Saturday","May",13
2017-05-14,14916,"Sunday","May",14
2017-05-15,10192,"Monday","May",15
2017-05-16,11585,"Tuesday","May",16
2017-05-17,15047,"Wednesday","May",17
2017-05-18,13638,"Thursday","May",18
2017-05-19,13104,"Friday","May",19
2017-05-20,13787,"Saturday","May",20
2017-05-21,10298,"Sunday","May",21
2017-05-22,13721,"Monday","May",22
2017-05-23,14881,"Tuesday","May",23
2017-05-24,11651,"Wednesday","May",24
2017-05-25,12192,"Thursday","May",25
2017-05-26,11743,"Friday","May",26
2017-05-27,14906,"Saturday","May",27
2017-05-28,10926,"Sunday","May",28
2017-05-29,16058,"Monday","May",29
2017-05-30,11524,"Tuesday","May",30
2017-05-31,15217,"Wednesday","May",31
2017-06-01,10297,"Thursday","June",1
2017-06-02,11262,"Friday","June",2
2017-06-03,12689,"Saturday","June",3
2017-06-04,13553,"Sunday","June",4
2017-06-05,11803,"Monday","June",5
2017-06-06,12842,"Tuesday","June",6
2017-06-07,14758,"Wednesday","June",7
2017-06-08,12189,"Thursday","June",8
2017-06-09,5267,"Friday","June",9
