ID,AGE,CONFIDNT,ASSERTIV,COGNITIV,OUTGOING,DEPENDBL,WARMHSTL,SEX,ATTRACT,BABYFACE,FWHR
B051,ADOL,3.85817,1.99675,2.83842,4.97165,5.86913,-0.31451,M,3.69,3.25,-0.995893134
G061,ADOL,1.71329,0.28675,-3.07873,2.02959,5.57295,-2.73503,F,2.25,3.13,-0.997810693
B041,ADOL,2.38293,1.91926,0.67681,1.46427,8.63823,2.15395,M,4.19,4,-1.000636173
B040,ADOL,3.65163,1.71059,4.03602,3.58874,6.93877,0.99147,M,4.19,5.06,-1.003000601
G139,ADOL,4.08972,4.58974,-0.1447,2.77678,6.01029,-2.02354,M,2.7,4.16,-1.030830336
G172,ADOL,0.12881,2.24977,1.12914,-1.01531,9.77202,-2.96644,M,1.87,5.41,-1.067467485
G124,ADOL,3.13143,3.26844,0.91867,5.03856,6.73678,2.21067,M,4.07,4.58,-1.069575831
B038,ADOL,2.16212,2.22927,-0.43281,-0.42089,8.20667,0.76824,M,3.94,5.69,-1.078046647
B062,ADOL,-0.24521,1.2852,2.17637,1.38829,8.59874,1.09563,M,3.6,3.94,-1.224916142
B052,ADOL,3.03307,0.84164,-0.97093,2.20808,7.24324,-0.05455,F,0,0,-1.254915055
B058,ADOL,-0.61775,3.19777,-5.45182,-1.45592,0.85689,3.39157,M,2.94,4.63,-1.315540266
G178,ADOL,-2.7209,-0.92107,-3.15219,-3.75534,5.52076,1.18984,M,2.48,4.34,-1.369352933
G176,ADOL,-1.81703,4.11013,-1.6338,5.76565,2.75527,-6.22375,F,3.63,4.56,-1.411529386
G086,ADOL,-2.18581,2.56981,2.60783,0.79787,1.02013,2.31213,M,0,0,-1.426490799
G115,ADOL,2.2062,2.30835,-5.14012,2.66495,1.4233,2.56559,M,0,0,-1.859508456
G172,ADOL,0.12881,2.24977,1.12914,-1.01531,9.77202,-2.96644,M,1.87,5.41,-1.87506403
G100,ADOL,-2.81051,0.98325,-1.89719,1.61204,5.68388,5.47837,F,3.25,2.19,-2.012173521
B009,ADOL,2.28329,3.95261,3.89198,4.74541,5.58957,6.99278,M,3.69,4,-2.412297479
g112,CHILD,-3.02705,2.54548,-3.28128,-1.72722,0.83965,-4.98094,M,2.94,1.97,1.24952984
g096,CHILD,0.95473,-0.11726,-1.50329,1.4772,5.30791,-1.35462,F,2.69,1.69,1.212109285
g078,CHILD,2.56917,2.40709,1.0283,5.6559,6.38964,2.08706,M,3.03,2.44,1.153825257
g110,CHILD,-3.5684,1.63118,-5.43546,-1.91048,1.43644,-3.86644,F,1.88,2.67,1.111888684
g165,CHILD,4.58774,1.26403,1.31678,4.27985,6.44819,0.93117,F,3.69,2.69,1.095504192
g178,CHILD,0.17709,-1.76975,-2.94772,-0.31187,4.06672,3.48347,M,3,4.1,1.065942732
g107,CHILD,-1.29743,5.98154,-1.82027,-1.29962,3.03953,-8.27613,M,3.91,3.09,0.789303889
g079,CHILD,1.63585,-1.90078,0.88502,-4.00948,4.66996,1.09367,M,5.38,4.66,0.775189977
b028,CHILD,-0.96742,5.15065,-4.54257,-0.79632,3.91659,-5.51473,M,0,0,0.737684165
b045,CHILD,1.95384,-0.53977,1.48666,0.12633,5.71569,0.10734,F,4.5,2.56,0.703147653
b001,CHILD,-0.03139,-1.26945,-1.18886,-5.19218,3.87159,2.6972,M,3.81,3.81,0.672439648
g125,CHILD,-2.98808,5.21983,-2.75374,1.85817,3.69904,-5.42,F,4.94,4.88,0.667527084
g080,CHILD,2.28828,3.05646,-2.19638,5.32114,6.72414,-2.29503,M,4.38,4.03,0.658858977
b018,CHILD,1.34592,3.73743,3.19061,1.85139,3.74826,1.66022,M,4.13,2.56,0.64236171
b044,CHILD,2.54609,1.06109,-1.29321,6.3726,5.55067,-0.41235,F,2.75,4.5,0.563473199
g097,CHILD,-1.13669,-2.35107,-1.42936,-0.26889,1.99369,2.97478,M,3.78,3.6,0.531195698
g098,CHILD,1.29402,2.00046,-3.88676,6.06515,5.94758,-7.43858,F,2.31,3.44,0.525841261
g109,CHILD,1.51654,2.29325,-0.33895,5.30647,2.34809,-0.41292,M,3.38,2.38,0.437921474
g091,CHILD,3.19555,0.69438,1.74503,-0.57953,7.00717,0.80294,M,3,3.88,0.427432385
b055,CHILD,2.47747,-0.48738,0.14461,3.60898,2.91983,1.53247,F,4.81,3.81,0.419444373
g124,CHILD,2.5763,1.53718,-0.74933,3.81669,6.08026,2.93289,M,3.25,3.69,0.412988797
b015,CHILD,-0.13591,2.62781,-4.34035,5.40833,1.65805,-2.25767,M,0,0,0.406874562
b041,CHILD,0.08208,-0.73076,1.48479,-4.39586,4.01727,1.2082,M,3.93,4.06,0.401273223
g059,CHILD,-0.70913,1.73449,-0.1269,-5.69849,5.9431,-3.32054,M,3.72,4.94,0.337845918
b022,CHILD,2.85654,3.12586,0.45731,7.25745,5.02312,-1.49846,F,2.38,3.56,0.32538856
b035,CHILD,-1.66032,4.42727,-4.56561,5.20501,2.00084,-4.81233,F,1.75,3.31,0.325376711
g064,CHILD,-1.21374,0.84402,-2.18089,-2.92248,3.00083,-2.18037,M,3.53,2.78,0.293925216
b019,CHILD,0.81415,-2.29047,-0.71855,-3.09373,4.12943,1.85901,M,4.5,2.31,0.277227964
g140,CHILD,2.90946,0.19409,-3.35608,4.72858,4.06876,0.63529,F,2.67,3.25,0.276984357
g115,CHILD,4.01206,0.75423,-4.05587,1.62262,2.83415,2.93315,M,4.19,3.56,0.268716562
g071,CHILD,3.60761,0.67694,-1.05487,3.15427,6.26429,2.86722,F,2.38,3.56,0.229584095
b068,CHILD,-1.33912,-2.20994,1.19092,-1.68723,4.62134,1.75475,F,3.88,3.13,0.171206997
b047,CHILD,-0.27111,3.502,-4.33732,4.56051,3.62581,-5.00076,F,2.31,4.69,0.147451606
b051,CHILD,1.90456,2.87654,0.36078,6.743,2.50424,-0.96167,M,3.5,3.56,0.145098402
b057,CHILD,1.5788,2.92359,-3.26985,5.32243,-1.55477,-2.82505,F,2.56,4.25,0.13503321
g123,CHILD,1.82329,1.55156,1.0166,3.1284,4.86579,0.72009,M,3.09,3.53,0.126152494
b007,CHILD,0.37504,4.17019,1.34291,3.34884,6.84234,-0.26755,F,3.19,3.13,0.093223286
g114,CHILD,-0.54186,6.4939,-3.36495,-0.30633,1.48151,-8.28086,M,3.47,3,0.085628855
