FaceSex,FaceAgeGroup,FaceAge,subject,face.a,ag.old,ag.young,at.old,at.young,ba.old,ba.young,co.old,co.young,he.old,he.young,un.old,un.young
F,YA,17.5,G084,YW2g5r,3.1875,3.9375,3.6875,2.875,3.714285714,3.6875,3.642857143,3.9375,4.6875,4.0625,3.5625,4.5
M,YA,17,G086,YM1g45r,2.8125,2.5625,3.875,3.3125,3.8125,4.5,4.5625,3.875,4.5625,4.75,3.5,3.3125
F,YA,17,G088,YW2g6r,2.75,3.6875,4.125,4.0625,3.142857143,3.125,4.258928571,4.4375,5,4.125,3.6875,3.4375
M,YA,18,G093,YM2g3r,3.0625,3.1875,3.0625,2.75,3.375,3.875,3.580357143,3.5,4.75,3.8125,3.5625,3.6875
F,YA,18,G096,YW1g47r,1.8125,2.125,4.4375,3.75,5.4375,5.6875,4.8125,4.75,5.25,4.8125,2.9375,2.75
M,YA,18,G097,YM1g7r,3.875,3.6875,3.5625,3,2.75,2.5625,3.5625,4,4.3125,4.25,4.25,3.9375
F,YA,17.5,G100,YW2g7r,2.625,4.25,4,4.375,4.053571429,3.875,4.5625,4,5.375,4.6875,3.3125,4.5
F,YA,17,G101,YW2g8r,3.25,3.875,4.3125,4.125,3.401785714,3.9375,4.178571429,4.4375,5,4.9375,3.75,4.125
F,YA,17,G103,YW1g48r,2.125,2.625,3.8125,2,4.6875,4.875,3.6875,2.9375,4.5,3.625,3.375,4.375
F,YA,17,G104,YW2g9r,3.3125,3.625,3.9375,4.6875,3.276785714,4,3.973214286,4.5625,4.6875,4.8125,3.875,3.4375
M,YA,17,G107,YM2g5r,2.25,2.75,3.5,3.3125,3.580357143,3.8125,4.107142857,3.875,4.875,4.8125,3.125,3
M,YA,18,G108,YM2g6r,2.5,2.8125,4,4.1875,3.714285714,4.1875,4.348214286,4.5625,5.0625,4.6875,2.6875,2.75
M,YA,17.5,G112,YM2g7r,1.8125,2.75,3.1875,2.25,3.901785714,4.9375,3.848214286,3.625,4.6875,4.125,3.25,3.375
M,YA,17,G115,YM2g8r,3.75,4.5625,4.8125,4.75,2.321428571,1.875,4.785714286,5,5.375,5.125,3.1875,4.0625
F,YA,17,G116,YW2g10r,3.3125,4.9375,3.9375,3.25,3.142857143,2.8125,3.973214286,3.8125,5,4.25,3.5,4.6875
M,YA,16,G117,YM1g46r,3.5,3.4375,4.25,3.4375,4,3.625,3.4375,4.0625,5.125,4.375,4.1875,3.8125
M,YA,18,G121,YM1g8r,2.875,3.25,4,2.625,3.75,3.25,4.0625,4.25,5.125,4.8125,4,3.5625
M,YA,17,G124,YM2g10r,2.8125,3.0625,3.5625,2.9375,3.133928571,2.75,3.803571429,3.5,4.625,3.5625,3.6875,4.25
F,YA,18,G125,YW2g11r,3.75,5.1875,3.625,3.375,1.830357143,1.75,3.517857143,3.875,4.5625,4.125,4.0625,5.625
F,YA,17,G127,YW2g12r,2.75,3.5625,4.0625,3.8125,3.848214286,2.6875,4.214285714,3.5625,5.1875,4.125,3.3125,4
M,YA,17,G128,YM2g9r,3.375,4.25,3.375,3.0625,2.758928571,4.3125,3.589285714,3.9375,4.1875,3.875,3.625,3.5625
F,YA,18,G135,YW2g13r,3.9375,4.8125,3.25,3,2.9375,2.9375,3.428571429,3.5625,4.125,3.375,4.25,5
M,YA,17,G139,YM1g47r,2.875,2.375,3.9375,2.9375,3.5,3.75,3.9375,3.875,4.875,4,3.1875,3.6875
F,YA,17,G140,YW2g14r,2.8125,3.875,3.5625,2.75,4.473214286,4.875,3.625,3.375,4.1875,3.5,3.875,4.3125
F,YA,18,G163,YW1g50r,1.8125,2.25,3.9375,3,4.125,3.4375,4.6875,5,5.0625,5.0625,2.9375,3
F,YA,18,G165,YW1g51r,3.0625,3.4375,3.4375,2.5,3.8125,3.625,4.5,3.625,4.5,3.6875,3.625,3.5
