subjcode,Sex,AgeGroup,MindEye,Snellen,MarsForm1,MarsForm2,BentonFaceRecog,Pattern,Shipley,Age
CLOS2811,1,1,33,20,1.72,1.6,50,35,34,21
CLOS3011,1,1,32,25,1.76,1.76,49,55,35,21
CLOS3111,1,1,24,25,1.68,1.76,43,51,36,21
CLOS0222,2,2,24,40,1.44,0.92,43,31,37,80
CLOS0522,2,2,25,40,1.32,1.36,49,28,36,71
CLOS0621,1,2,31,40,1.6,1.64,47,25,40,79
CLOS1221,1,2,30,30,1.6,1.76,49,21,38,76
CLOS1321,1,2,30,25,1.56,1.76,45,26,36,76
CLOS1521,1,2,23,40,1.64,1.44,47,25,32,75
CLOS1721,1,2,26,40,1.56,1.32,49,26,37,80
CLOS1922,2,2,31,50,1.44,1.44,41,28,35,81
CLOS2022,2,2,25,40,1.12,1.16,47,19,38,85
CLOS2222,2,2,25,15,1.72,1.6,52,31,39,65
CLOS2321,1,2,30,40,1.52,1.6,47,21,38,75
CLOS2621,1,2,24,50,1.4,1.68,43,23,37,80
CLOS2722,2,2,33,25,1.56,1.44,47,26,36,69
CLOS2922,2,2,30,40,1.48,1.4,41,26,37,76
CLOS3221,1,2,22,70,1.2,1.2,47,21,37,86
CLOS3322,2,2,16,70,1.2,1.16,45,17,28,88
CLOS3421,1,2,28,70,1.68,1.16,49,30,37,75
CLOS3522,2,2,27,25,1.68,1.28,47,25,32,65
CLOS3622,2,2,16,30,1.44,1.6,47,17,37,66
CLOP0122,2,2,28,20,1.64,1.28,50,24,33,83
CLOP0211,1,1,29,13,1.76,1.76,49,48,30,20
CLOP0312,2,1,28,15,1.64,1.68,47,39,35,20
CLOP0412,2,1,28,50,1.72,1,52,41,37,25
CLOP0521,1,2,30,20,1.72,1.68,47,27,37,73
CLOP0622,2,2,22,30,1.36,1.4,47,26,37,79
CLOP0712,2,1,31,20,1.76,1.64,49,52,32,20
CLOP0821,1,2,24,40,1.72,1.72,43,29,34,66
CLOP0912,2,1,31,15,1.68,1.76,47,47,32,23
CLOP1012,2,1,25,40,1.76,1.16,47,37,35,22
CLOP1121,1,2,17,40,1.6,1.76,43,19,29,69
CLOP1222,2,2,27,40,1.4,1.2,47,33,32,80
CLOP1322,2,2,25,20,1.72,1.72,47,17,33,71
CLOP1422,2,2,26,70,1.44,1.16,47,30,31,86
CLOP1522,2,2,25,30,1.56,1.6,47,26,38,69
CLOP1622,2,2,17,50,1.36,1.44,39,22,28,90
CLOP1722,2,2,21,40,1.56,1.32,47,24,23,80
CLOP1811,1,1,28,13,1.76,1.76,47,46,37,3
CLOP1912,2,1,24,25,1.68,1.56,47,45,33,20
CLOP2021,2,1,27,30,1.72,1.68,43,43,34,20
CLOP2121,1,2,29,20,1.36,1.4,49,35,39,77
CLOP2222,2,2,23,30,1.6,1.6,43,20,37,76
CLOP2311,1,1,27,25,1.72,1.68,37,54,30,21
CLOP2412,2,1,26,15,1.72,1.72,39,39,37,20
CLOP2512,2,1,21,50,1.68,1.72,43,43,31,20
CLOP2621,1,2,24,25,1.76,1.44,41,32,37,71
CLOP2721,1,2,29,15,1.68,1.76,54,29,37,70
CLOP2821,1,2,31,40,1.56,1.2,47,35,20,68
CLOP2921,1,2,30,20,1.56,1.68,50,28,37,65
CLOP3022,2,2,23,20,1.56,1.64,49,29,28,70
CLOP3111,1,1,24,20,1.72,1.52,41,41,27,20
CLOP3211,1,1,25,20,1.76,1.72,49,50,34,21
CLOP3311,1,1,32,20,1.68,1.76,47,48,34,19
CLOP3411,1,1,33,13,1.76,1.68,47,29,36,24
CLOP3511,1,1,26,20,1.76,1.6,50,54,35,22
CLOP3611,1,1,28,20,1.76,1.76,45,45,28,23
FIRE0112,2,1,28,13,1.76,1.76,43,39,31,18
FIRE0212,2,1,23,15,1.8,1.64,45,41,32,19
FIRE0312,2,1,25,20,1.76,1.76,49,31,33,21
FIRE0412,2,1,16,20,1.76,1.04,47,37,29,20
FIRE0511,1,1,34,13,1.76,1.64,50,40,32,19
FIRE0611,1,1,33,25,1.76,1.76,49,46,35,18
FIRE0712,2,1,22,25,1.64,1.36,41,40,27,18
FIRE0811,1,1,28,25,1.72,1.64,49,48,36,19
FIRE0911,1,1,18,20,1.76,1.6,47,40,29,18
FIRE1011,1,1,24,25,1.64,1.64,50,48,30,18
FIRE1112,2,1,31,25,1.76,1.76,47,36,29,19
FIRE1211,1,1,10,13,1.6,1.36,45,46,28,18
FIRE1311,1,1,29,25,1.76,1.52,49,35,27,18
FIRE1412,2,1,32,13,1.76,1.76,50,44,31,18
FIRE1512,2,1,30,20,1.76,1.72,52,43,32,18
FIRE1622,2,2,30,30,1.6,1.6,49,19,36,67
FIRE1722,2,2,,40,1.76,1.6,52,24,38,68
FIRE1811,1,1,23,20,1.76,1.76,49,41,28,18
FIRE1921,1,2,27,30,1.44,1.4,49,26,40,72
FIRE2021,1,2,32,25,1.72,1.76,49,28,38,71
FIRE2122,2,2,21,40,1.44,1.44,41,23,38,93
FIRE2221,1,2,25,40,1.44,1.4,49,35,39,78
FIRE2321,1,2,18,25,1.44,1.16,45,26,27,73
FIRE2421,1,2,18,40,1.64,1.64,41,26,27,80
FIRE2521,1,2,14,25,1.6,1.6,45,25,35,85
FIRE2622,2,2,23,25,1.68,1.68,43,32,39,80
FIRE2721,1,2,22,40,1.68,1.76,50,24,30,78
FIRE2822,2,2,25,25,1.6,1.6,41,33,35,78
FIRE2922,2,2,19,25,1.64,1.64,50,30,29,79
FIRE3021,1,2,28,30,1.68,1.44,49,27,39,73
FIRE3112,2,1,25,13,1.72,1.68,45,29,36,19
FIRE3222,2,2,22,25,1.72,1.6,49,32,36,68
FIRE3311,1,1,27,15,1.76,1.76,45,44,34,22
FIRE3421,1,2,26,15,1.72,1.76,49,36,38,65
FIRE3511,1,1,28,20,1.76,1.76,47,47,35,21
FIRE3611,1,1,16,13,1.76,1.76,43,24,28,19
FIRE3711,1,1,24,20,1.76,1.76,50,44,32,22
FIRE3811,1,1,24,20,1.76,1.64,54,39,25,20
FIRE3921,1,2,14,50,1.32,1.68,45,22,36,70
FIRE4022,2,2,22,40,1.56,1.68,41,28,37,75
FIRE4122,2,2,16,30,1.72,1.76,41,24,38,69
FIRE4222,2,2,29,25,1.68,1.76,49,42,39,66
FIRE4311,1,1,27,25,1.76,1.32,54,36,35,18
FIRE4412,2,1,22,40,1.76,1.4,50,30,31,19
FIRE4511,1,1,27,13,1.72,1.76,47,43,38,18
FIRE4612,2,1,32,13,1.76,1.76,50,58,35,18
FIRE4712,2,1,25,20,1.76,1.68,49,44,32,17
FIRE4812,2,1,26,20,1.72,1.6,45,47,29,18
FIRE5012,2,1,20,25,1.72,1.72,47,38,23,20
FIRE5111,1,1,27,20,1.76,1,49,35,35,20
FIRE5211,1,1,30,13,1.8,1.76,49,47,36,21
FIRE5311,1,1,23,20,1.72,1.76,47,26,34,19
FIRE5412,2,1,24,10,1.76,1.76,50,41,32,19
FIRE5511,1,1,32,40,1.64,1.44,49,30,35,18
FIRE5612,2,1,28,20,1.76,1.56,45,55,34,19
FIRE5711,1,1,21,20,1.72,1.64,43,48,33,18
FIRE5812,2,1,31,15,1.68,1.68,52,51,33,19
FIRE5911,1,1,27,13,1.76,1.76,41,47,36,19
FIRE6011,1,1,31,15,1.8,1.52,47,58,36,19
